area,level,year,household,parking,fuel,SNU,sratio,med,popden,edu,lnsubnet,lngreen,lnwater,spring,fall,winter,score,sentiment,lnprice,longitude,latitude
18.2346,7,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,1,0,5,2.619047619,8.909235279,127.343024,36.354192
18.2346,12,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,1,0,5,2.619047619,8.891511571,127.343024,36.354192
23.3496,9,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,1,0,5,2.619047619,9.112727543,127.343024,36.354192
23.3496,9,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,1,0,5,2.619047619,9.011889433,127.343024,36.354192
18.2346,8,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,1,0,5,2.619047619,8.794824928,127.343024,36.354192
23.3496,14,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,0,1,5,2.619047619,9.047821442,127.343024,36.354192
23.3496,13,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,0,1,5,2.619047619,9.112727543,127.343024,36.354192
20.3697,7,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,0,1,5,2.619047619,8.881836305,127.343024,36.354192
18.2346,7,2015,299,0.49,0,18,106.9881159,36,2395.487106,34.0808894,5.924582111,5.287280255,5.976108313,0,0,1,5,2.619047619,8.891511571,127.343024,36.354192
84.566,2,2007,19,1,0,18,108.0072652,27,15657.42188,60.90559761,6.401037214,5.14599711,3.62174078,0,0,1,5,2.51292517,9.740968623,127.339307,36.357669
84.566,3,2007,19,1,0,18,108.0072652,27,15657.42188,60.90559761,6.401037214,5.14599711,3.62174078,0,1,0,5,2.51292517,9.76995616,127.339307,36.357669
84.486,2,2007,19,1,0,18,108.0072652,27,15657.42188,60.90559761,6.401037214,5.14599711,3.62174078,0,1,0,5,2.51292517,9.798127037,127.339307,36.357669
84.486,6,2007,19,1,0,18,108.0072652,27,15657.42188,60.90559761,6.401037214,5.14599711,3.62174078,0,1,0,5,2.51292517,9.92329018,127.339307,36.357669
76.5542,16,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,5.976108313,0,0,1,5,2.886394558,10.08580911,127.344325,36.354578
84.8995,25,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,0,0,1,5,2.886394558,10.30895266,127.344325,36.354578
76.5542,12,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,0,0,1,5,2.886394558,10.08580911,127.344325,36.354578
76.5542,20,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,1,0,0,5,2.886394558,10.14643373,127.344325,36.354578
76.5542,25,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,1,0,0,5,2.886394558,10.16585182,127.344325,36.354578
84.9442,13,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,1,0,0,5,2.886394558,10.04324949,127.344325,36.354578
76.5542,17,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,0,0,0,5,2.886394558,10.09410791,127.344325,36.354578
84.9411,30,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,0,0,0,5,2.886394558,10.25765937,127.344325,36.354578
84.9442,18,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,0,1,0,5,2.886394558,10.261162,127.344325,36.354578
